原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
NBSY-0218SD,4,25712,2027.0,0.0,38.0,998.0
NBSY-0218SD,4,25119,0.0,1090.0,1839.0,118.0
NBSY-0218SD,5,25793,0.0,0.0,377.0,1063.0
NBSY-0218SD,5,25571,377.0,0.0,342.0,1067.0
NBSY-0218SD,5,25744,719.0,0.0,342.0,1067.0
NBSY-0218SD,5,25446,1061.0,0.0,177.0,1063.0
NBSY-0218SD,5,25779,1238.0,0.0,58.0,1062.0
NBSY-0218SD,5,25532,1296.0,0.0,58.0,1063.0
NBSY-0218SD,5,25462,1354.0,0.0,252.0,1040.0
NBSY-0218SD,5,25333,1606.0,0.0,178.0,1044.0
NBSY-0218SD,5,25768,1784.0,0.0,177.5,1043.0
NBSY-0218SD,5,25584,1961.5,0.0,58.0,1010.0
NBSY-0218SD,5,25131,2019.5,0.0,58.0,1011.0
NBSY-0218SD,5,25414,2077.5,0.0,58.0,1011.0
NBSY-0218SD,5,25582,2135.5,0.0,38.0,1010.0
NBSY-0218SD,5,25660,0.0,1067.0,2148.0,58.0
NBSY-0218SD,5,25094,0.0,1125.0,2138.0,58.0
NBSY-0218SD,6,25320,0.0,0.0,576.0,980.0
NBSY-0218SD,6,25309,576.0,0.0,121.5,981.5
NBSY-0218SD,6,25718,697.5,0.0,578.0,973.0
NBSY-0218SD,6,25378,1275.5,0.0,574.0,975.0
NBSY-0218SD,6,25680,1849.5,0.0,557.0,974.0
NBSY-0218SD,6,25380,0.0,981.5,238.0,238.0
NBSY-0218SD,6,25297,238.0,981.5,158.0,238.0
NBSY-0218SD,6,25307,396.0,981.5,118.0,238.0
NBSY-0218SD,6,25652,514.0,981.5,118.0,238.0
NBSY-0218SD,6,25669,632.0,981.5,118.0,238.0
NBSY-0218SD,6,25673,750.0,981.5,118.0,238.0
NBSY-0218SD,6,25870,868.0,981.5,118.0,238.0
NBSY-0218SD,6,25930,986.0,981.5,118.0,238.0
NBSY-0218SD,7,25558,0.0,0.0,1616.5,962.0
NBSY-0218SD,7,25112,1616.5,0.0,721.0,966.0
NBSY-0218SD,7,25403,2337.5,0.0,58.0,968.0
NBSY-0218SD,7,25232,0.0,968.0,161.0,248.0
NBSY-0218SD,8,25698,0.0,0.0,851.5,966.0
NBSY-0218SD,8,25648,851.5,0.0,384.5,967.0
NBSY-0218SD,8,25428,1236.0,0.0,342.5,962.0
NBSY-0218SD,8,25804,1578.5,0.0,228.0,962.0
NBSY-0218SD,8,25651,0.0,968.0,2201.0,201.0
NBSY-0218SD,8,25906,2201.0,968.0,48.0,195.0
NBSY-0218SD,8,25400,0.0,1169.0,2438.0,38.0
NBSY-0218SD,9,25552,0.0,0.0,2003.0,953.0
NBSY-0218SD,9,25359,2003.0,0.0,248.0,948.0
NBSY-0218SD,9,25438,2251.0,0.0,58.0,947.0
NBSY-0218SD,9,25486,2309.0,0.0,58.0,947.0
NBSY-0218SD,9,25115,2367.0,0.0,58.0,950.0
NBSY-0218SD,9,25502,0.0,953.0,255.0,267.0
NBSY-0218SD,10,25833,0.0,0.0,2001.0,950.0
NBSY-0218SD,10,25727,0.0,953.0,252.0,264.0
NBSY-0218SD,11,25263,0.0,0.0,557.0,947.0
NBSY-0218SD,11,25506,557.0,0.0,482.0,946.0
NBSY-0218SD,11,25223,1039.0,0.0,498.0,865.0
NBSY-0218SD,11,25901,1537.0,0.0,329.0,866.0
NBSY-0218SD,11,25573,1866.0,0.0,243.0,862.0
NBSY-0218SD,11,25575,0.0,953.0,1622.0,261.0
NBSY-0218SD,11,25805,1622.0,953.0,260.0,262.0
NBSY-0218SD,11,25926,1882.0,953.0,260.0,262.0
NBSY-0218SD,11,25425,2142.0,953.0,58.0,262.0
NBSY-0218SD,11,25227,2200.0,953.0,48.0,253.0
NBSY-0218SD,12,25282,0.0,0.0,538.0,936.0
NBSY-0218SD,12,25682,538.0,0.0,527.0,932.0
NBSY-0218SD,12,25107,1065.0,0.0,471.5,930.0
NBSY-0218SD,12,25798,1536.5,0.0,403.5,931.0
NBSY-0218SD,12,25867,1940.0,0.0,403.5,931.0
NBSY-0218SD,12,25608,2343.5,0.0,58.0,921.0
NBSY-0218SD,12,25385,2401.5,0.0,38.0,920.5
NBSY-0218SD,12,25478,0.0,939.0,2398.0,280.0
NBSY-0218SD,13,25691,0.0,0.0,878.0,922.0
NBSY-0218SD,13,25091,878.0,0.0,567.0,921.0
NBSY-0218SD,13,25923,1445.0,0.0,553.0,939.0
NBSY-0218SD,13,25888,1998.0,0.0,420.0,926.0
NBSY-0218SD,13,25884,0.0,939.0,1828.0,280.0
NBSY-0218SD,13,25111,1828.0,939.0,229.0,279.5
NBSY-0218SD,13,25595,2057.0,939.0,229.0,279.5
NBSY-0218SD,14,25755,0.0,0.0,377.0,930.0
NBSY-0218SD,14,25612,377.0,0.0,358.5,939.0
NBSY-0218SD,14,25198,735.5,0.0,341.0,930.0
NBSY-0218SD,14,25564,1076.5,0.0,329.0,922.0
NBSY-0218SD,14,25565,1405.5,0.0,225.5,924.0
NBSY-0218SD,14,25392,1631.0,0.0,58.0,936.0
NBSY-0218SD,14,25762,1689.0,0.0,58.0,939.0
NBSY-0218SD,14,25840,0.0,939.0,229.0,279.5
NBSY-0218SD,15,25286,0.0,0.0,689.0,906.0
NBSY-0218SD,15,25383,689.0,0.0,558.0,900.0
NBSY-0218SD,15,25382,1247.0,0.0,553.0,900.0
NBSY-0218SD,15,25738,1800.0,0.0,457.0,912.0
NBSY-0218SD,15,25661,2257.0,0.0,148.0,908.0
NBSY-0218SD,15,25229,0.0,912.0,269.0,305.0
NBSY-0218SD,15,25138,269.0,912.0,132.5,305.0
NBSY-0218SD,15,25785,401.5,912.0,1368.0,298.0
NBSY-0218SD,16,25871,0.0,0.0,377.0,898.0
NBSY-0218SD,16,25854,377.0,0.0,374.0,901.5
NBSY-0218SD,16,25546,751.0,0.0,287.5,900.0
NBSY-0218SD,16,25928,1038.5,0.0,258.0,912.0
NBSY-0218SD,16,25699,1296.5,0.0,239.0,910.0
NBSY-0218SD,16,25174,1535.5,0.0,52.5,911.0
NBSY-0218SD,16,25772,1588.0,0.0,38.0,900.0
NBSY-0218SD,16,25199,1626.0,0.0,58.0,892.0
NBSY-0218SD,16,25826,0.0,912.0,92.5,303.0
NBSY-0218SD,16,25747,92.5,912.0,58.0,302.0
NBSY-0218SD,16,25655,150.5,912.0,1781.0,298.0
NBSY-0218SD,16,25388,1931.5,912.0,278.0,298.0
NBSY-0218SD,17,25123,0.0,0.0,1391.5,885.0
NBSY-0218SD,17,25722,1391.5,0.0,774.5,874.0
NBSY-0218SD,17,25908,2166.0,0.0,258.0,883.0
NBSY-0218SD,17,25721,0.0,885.0,128.5,332.0
NBSY-0218SD,17,25156,128.5,885.0,1410.5,330.0
NBSY-0218SD,17,25656,1539.0,885.0,161.0,327.0
NBSY-0218SD,17,25572,1700.0,885.0,154.5,327.0
NBSY-0218SD,17,25509,1854.5,885.0,312.0,323.5
NBSY-0218SD,18,25622,0.0,0.0,746.0,885.0
NBSY-0218SD,18,25399,746.0,0.0,558.0,880.0
NBSY-0218SD,18,25862,1304.0,0.0,557.0,885.0
NBSY-0218SD,18,25593,1861.0,0.0,555.0,885.0
NBSY-0218SD,18,25372,0.0,885.0,2389.0,330.0
NBSY-0218SD,18,25838,2389.0,885.0,38.0,313.0
NBSY-0218SD,19,25932,0.0,0.0,510.0,871.0
NBSY-0218SD,19,25226,510.0,0.0,459.5,872.0
NBSY-0218SD,19,25180,969.5,0.0,438.0,880.0
NBSY-0218SD,19,25860,1407.5,0.0,308.0,885.0
NBSY-0218SD,19,25248,1715.5,0.0,58.0,872.0
NBSY-0218SD,19,25164,1773.5,0.0,58.0,876.0
NBSY-0218SD,19,25873,1831.5,0.0,58.0,885.0
NBSY-0218SD,19,25129,1889.5,0.0,38.0,883.0
NBSY-0218SD,19,25624,0.0,885.0,1859.0,330.0
NBSY-0218SD,19,25194,1859.0,885.0,298.0,330.0
NBSY-0218SD,19,25899,2157.0,885.0,188.0,329.0
NBSY-0218SD,20,25271,0.0,0.0,530.0,831.0
NBSY-0218SD,20,25523,530.0,0.0,530.0,840.0
NBSY-0218SD,20,25157,1060.0,0.0,489.0,844.0
NBSY-0218SD,20,25175,1549.0,0.0,474.0,851.5
NBSY-0218SD,20,25746,2023.0,0.0,398.0,848.0
NBSY-0218SD,20,25120,0.0,856.0,2360.0,357.0
NBSY-0218SD,21,25875,0.0,0.0,2301.0,838.0
NBSY-0218SD,21,25813,0.0,856.0,2298.0,359.0
NBSY-0218SD,22,25683,0.0,0.0,2301.0,856.0
NBSY-0218SD,22,25251,0.0,856.0,1525.5,360.0
NBSY-0218SD,22,25210,1525.5,856.0,337.0,356.0
NBSY-0218SD,22,25914,1862.5,856.0,330.0,358.0
NBSY-0218SD,23,25818,0.0,0.0,580.0,831.0
NBSY-0218SD,23,25530,580.0,0.0,575.0,853.0
NBSY-0218SD,23,25276,1155.0,0.0,559.0,851.0
NBSY-0218SD,23,25701,1714.0,0.0,538.0,851.0
NBSY-0218SD,23,25489,0.0,856.0,312.0,356.0
NBSY-0218SD,23,25152,312.0,856.0,319.0,345.0
NBSY-0218SD,23,25302,631.0,856.0,300.0,344.0
NBSY-0218SD,23,25456,931.0,856.0,300.0,344.0
NBSY-0218SD,23,25531,1231.0,856.0,300.0,344.0
NBSY-0218SD,23,25268,1531.0,856.0,299.5,344.0
NBSY-0218SD,23,25236,1830.5,856.0,278.0,343.0
NBSY-0218SD,23,25786,2108.5,856.0,278.0,343.0
NBSY-0218SD,23,25877,2386.5,856.0,48.0,344.0
NBSY-0218SD,24,25255,0.0,0.0,379.0,838.0
NBSY-0218SD,24,25574,379.0,0.0,346.5,838.0
NBSY-0218SD,24,25733,725.5,0.0,302.0,833.0
NBSY-0218SD,24,25664,1027.5,0.0,240.0,830.0
NBSY-0218SD,24,25242,1267.5,0.0,198.0,836.0
NBSY-0218SD,24,25181,1465.5,0.0,499.0,613.0
NBSY-0218SD,24,25581,1964.5,0.0,412.0,613.0
NBSY-0218SD,24,25618,0.0,856.0,1822.0,350.0
NBSY-0218SD,24,25103,1822.0,856.0,347.0,351.0
NBSY-0218SD,24,25240,2169.0,856.0,269.0,347.0
NBSY-0218SD,25,25176,0.0,0.0,530.0,807.0
NBSY-0218SD,25,25300,530.0,0.0,516.0,811.0
NBSY-0218SD,25,25168,1046.0,0.0,418.5,815.0
NBSY-0218SD,25,25508,1464.5,0.0,418.5,815.0
NBSY-0218SD,25,25792,1883.0,0.0,351.5,815.5
NBSY-0218SD,25,25398,2234.5,0.0,200.0,822.0
NBSY-0218SD,25,25305,0.0,825.0,1439.5,395.0
NBSY-0218SD,25,25513,1439.5,825.0,48.0,395.0
NBSY-0218SD,25,25760,1487.5,825.0,48.0,395.0
NBSY-0218SD,25,25505,1535.5,825.0,327.0,392.0
NBSY-0218SD,25,25116,1862.5,825.0,318.0,392.0
NBSY-0218SD,26,25321,0.0,0.0,576.0,811.0
NBSY-0218SD,26,25170,576.0,0.0,558.0,822.0
NBSY-0218SD,26,25644,1134.0,0.0,557.0,812.0
NBSY-0218SD,26,25095,1691.0,0.0,535.0,811.0
NBSY-0218SD,26,25166,2226.0,0.0,132.5,817.0
NBSY-0218SD,26,25460,2358.5,0.0,58.0,811.0
NBSY-0218SD,26,25373,0.0,825.0,1439.5,395.0
NBSY-0218SD,26,25545,1439.5,825.0,158.0,387.0
NBSY-0218SD,26,25525,1597.5,825.0,158.0,388.0
NBSY-0218SD,26,25099,1755.5,825.0,78.0,388.0
NBSY-0218SD,26,25219,1833.5,825.0,78.0,388.0
NBSY-0218SD,27,25543,0.0,0.0,2353.0,822.0
NBSY-0218SD,27,25811,2353.0,0.0,58.0,811.0
NBSY-0218SD,27,25907,0.0,825.0,1439.5,395.0
NBSY-0218SD,27,25637,1439.5,825.0,371.0,384.0
NBSY-0218SD,27,25220,1810.5,825.0,358.0,383.0
NBSY-0218SD,28,25544,0.0,0.0,1371.0,812.0
NBSY-0218SD,28,25422,1371.0,0.0,595.0,811.0
NBSY-0218SD,28,25850,1966.0,0.0,419.0,815.0
NBSY-0218SD,28,25815,0.0,825.0,2021.5,392.0
NBSY-0218SD,28,25643,2021.5,825.0,364.5,391.0
NBSY-0218SD,29,25756,0.0,0.0,336.0,815.5
NBSY-0218SD,29,25173,336.0,0.0,318.0,819.0
NBSY-0218SD,29,25797,654.0,0.0,307.0,811.0
NBSY-0218SD,29,25713,961.0,0.0,302.5,819.5
NBSY-0218SD,29,25165,1263.5,0.0,277.5,825.0
NBSY-0218SD,29,25883,1541.0,0.0,58.0,811.0
NBSY-0218SD,29,25128,1599.0,0.0,58.0,822.0
NBSY-0218SD,29,25759,1657.0,0.0,361.0,801.0
NBSY-0218SD,29,25902,2018.0,0.0,289.0,801.0
NBSY-0218SD,29,25576,2307.0,0.0,92.5,800.0
NBSY-0218SD,29,25553,0.0,825.0,2369.0,392.5
NBSY-0218SD,30,25849,0.0,0.0,659.0,794.0
NBSY-0218SD,30,25114,659.0,0.0,385.0,795.5
NBSY-0218SD,30,25868,1044.0,0.0,383.0,795.5
NBSY-0218SD,30,25132,1427.0,0.0,359.5,790.0
NBSY-0218SD,30,25113,1786.5,0.0,357.0,792.0
NBSY-0218SD,30,25318,2143.5,0.0,58.0,792.0
NBSY-0218SD,30,25330,0.0,795.5,2386.0,415.0
NBSY-0218SD,30,25634,2386.0,795.5,52.5,413.0
NBSY-0218SD,31,25154,0.0,0.0,329.0,792.0
NBSY-0218SD,31,25277,329.0,0.0,329.0,792.0
NBSY-0218SD,31,25463,658.0,0.0,329.0,792.0
NBSY-0218SD,31,25233,987.0,0.0,327.5,793.0
NBSY-0218SD,31,25347,1314.5,0.0,309.5,792.0
NBSY-0218SD,31,25413,1624.0,0.0,297.0,794.0
NBSY-0218SD,31,25143,1921.0,0.0,362.0,627.0
NBSY-0218SD,31,25695,0.0,795.5,2084.0,413.0
NBSY-0218SD,31,25560,2084.0,795.5,349.0,414.0
NBSY-0218SD,32,25776,0.0,0.0,701.0,777.0
NBSY-0218SD,32,25700,701.0,0.0,579.0,759.0
NBSY-0218SD,32,25163,1280.0,0.0,579.0,762.0
NBSY-0218SD,32,25853,1859.0,0.0,577.0,759.0
NBSY-0218SD,32,25212,0.0,783.0,2377.0,415.0
NBSY-0218SD,33,25159,0.0,0.0,328.0,770.0
NBSY-0218SD,33,25191,328.0,0.0,328.0,782.0
NBSY-0218SD,33,25334,656.0,0.0,328.0,783.0
NBSY-0218SD,33,25518,984.0,0.0,326.0,778.0
NBSY-0218SD,33,25791,1310.0,0.0,297.0,772.0
NBSY-0218SD,33,25852,1607.0,0.0,297.0,772.0
NBSY-0218SD,33,25641,1904.0,0.0,295.0,777.0
NBSY-0218SD,33,25646,2199.0,0.0,198.0,774.0
NBSY-0218SD,33,25731,2397.0,0.0,38.0,761.0
NBSY-0218SD,33,25494,0.0,783.0,2377.0,415.0
NBSY-0218SD,34,25206,0.0,0.0,373.5,778.0
NBSY-0218SD,34,25904,373.5,0.0,373.5,778.0
NBSY-0218SD,34,25431,747.0,0.0,348.0,753.0
NBSY-0218SD,34,25920,1095.0,0.0,342.0,749.0
NBSY-0218SD,34,25136,1437.0,0.0,338.0,766.0
NBSY-0218SD,34,25778,1775.0,0.0,330.5,774.0
NBSY-0218SD,34,25280,2105.5,0.0,329.0,777.0
NBSY-0218SD,34,25892,0.0,783.0,132.5,413.0
NBSY-0218SD,34,25630,132.5,783.0,377.0,400.0
NBSY-0218SD,34,25631,509.5,783.0,358.0,400.0
NBSY-0218SD,34,25362,867.5,783.0,347.0,402.0
NBSY-0218SD,34,25632,1214.5,783.0,328.0,401.0
NBSY-0218SD,34,25454,1542.5,783.0,373.0,398.0
NBSY-0218SD,34,25706,1915.5,783.0,309.0,397.0
NBSY-0218SD,35,25149,0.0,0.0,2053.0,758.0
NBSY-0218SD,35,25665,2053.0,0.0,377.0,752.0
NBSY-0218SD,35,25402,0.0,783.0,2084.0,408.8
NBSY-0218SD,35,25808,2084.0,783.0,294.0,410.0
NBSY-0218SD,35,25426,2378.0,783.0,58.0,407.0
NBSY-0218SD,36,25188,0.0,0.0,510.0,778.0
NBSY-0218SD,36,25368,510.0,0.0,482.0,751.0
NBSY-0218SD,36,25775,992.0,0.0,451.0,779.0
NBSY-0218SD,36,25352,1443.0,0.0,418.0,770.0
NBSY-0218SD,36,25521,1861.0,0.0,418.0,770.0
NBSY-0218SD,36,25228,2279.0,0.0,92.5,756.0
NBSY-0218SD,36,25520,2371.5,0.0,58.0,750.0
NBSY-0218SD,36,25720,0.0,783.0,2393.0,408.0
NBSY-0218SD,37,25568,0.0,0.0,1961.0,762.0
NBSY-0218SD,37,25162,1961.0,0.0,468.0,766.0
NBSY-0218SD,37,25842,0.0,783.0,1603.0,404.3
NBSY-0218SD,37,25293,1603.0,783.0,269.0,408.0
NBSY-0218SD,37,25434,1872.0,783.0,214.0,408.0
NBSY-0218SD,37,25294,2086.0,783.0,212.5,408.0
NBSY-0218SD,38,25447,0.0,0.0,2251.0,771.0
NBSY-0218SD,38,25594,2251.0,0.0,58.0,759.0
NBSY-0218SD,38,25323,2309.0,0.0,58.0,762.0
NBSY-0218SD,38,25916,2367.0,0.0,58.0,767.0
NBSY-0218SD,38,25638,0.0,783.0,2284.0,406.0
NBSY-0218SD,39,25443,0.0,0.0,557.0,750.0
NBSY-0218SD,39,25102,557.0,0.0,555.0,764.0
NBSY-0218SD,39,25662,1112.0,0.0,518.0,763.0
NBSY-0218SD,39,25696,1630.0,0.0,516.5,762.0
NBSY-0218SD,39,25878,2146.5,0.0,277.5,771.0
NBSY-0218SD,39,25093,0.0,783.0,2301.0,400.0
NBSY-0218SD,39,25122,2301.0,783.0,58.0,400.0
NBSY-0218SD,39,25147,2359.0,783.0,58.0,400.0
NBSY-0218SD,40,25254,0.0,0.0,2146.0,763.0
NBSY-0218SD,40,25108,2146.0,0.0,58.0,770.0
NBSY-0218SD,40,25172,2204.0,0.0,58.0,770.0
NBSY-0218SD,40,25125,0.0,783.0,2241.0,400.0
NBSY-0218SD,40,25796,2241.0,783.0,58.0,400.0
NBSY-0218SD,41,25410,0.0,0.0,2146.0,763.0
NBSY-0218SD,41,25615,0.0,783.0,2236.0,402.0
NBSY-0218SD,42,25469,0.0,0.0,625.0,745.0
NBSY-0218SD,42,25507,625.0,0.0,586.0,745.0
NBSY-0218SD,42,25127,1211.0,0.0,426.5,677.0
NBSY-0218SD,42,25167,1637.5,0.0,426.5,677.0
NBSY-0218SD,42,25288,2064.0,0.0,327.0,675.0
NBSY-0218SD,42,25555,0.0,745.0,2001.0,459.0
NBSY-0218SD,42,25614,2001.0,745.0,439.0,442.0
NBSY-0218SD,43,25919,0.0,0.0,1522.0,727.0
NBSY-0218SD,43,25510,1522.0,0.0,630.0,727.0
NBSY-0218SD,43,25497,2152.0,0.0,278.0,735.0
NBSY-0218SD,43,25845,0.0,741.0,2361.0,470.0
NBSY-0218SD,43,25735,2361.0,741.0,58.0,472.0
NBSY-0218SD,44,25384,0.0,0.0,547.0,731.0
NBSY-0218SD,44,25409,547.0,0.0,528.0,735.0
NBSY-0218SD,44,25725,1075.0,0.0,512.0,739.0
NBSY-0218SD,44,25358,1587.0,0.0,497.0,730.0
NBSY-0218SD,44,25773,2084.0,0.0,323.5,732.0
NBSY-0218SD,44,25344,0.0,741.0,1443.5,475.0
NBSY-0218SD,44,25692,1443.5,741.0,450.0,474.5
NBSY-0218SD,44,25616,1893.5,741.0,380.0,475.5
NBSY-0218SD,44,25458,2273.5,741.0,132.5,470.0
NBSY-0218SD,45,25929,0.0,0.0,2251.0,737.0
NBSY-0218SD,45,25522,2251.0,0.0,58.0,727.0
NBSY-0218SD,45,25444,2309.0,0.0,58.0,732.0
NBSY-0218SD,45,25820,0.0,741.0,380.0,475.5
NBSY-0218SD,45,25498,380.0,741.0,339.0,471.0
NBSY-0218SD,45,25153,719.0,741.0,212.5,473.0
NBSY-0218SD,45,25370,931.5,741.0,48.0,474.0
NBSY-0218SD,45,25714,979.5,741.0,328.0,370.0
NBSY-0218SD,45,25882,1307.5,741.0,328.0,370.0
NBSY-0218SD,45,25743,1635.5,741.0,289.0,369.2
NBSY-0218SD,45,25295,1924.5,741.0,201.0,372.0
NBSY-0218SD,45,25183,2125.5,741.0,172.5,371.0
NBSY-0218SD,46,25689,0.0,0.0,1552.0,737.0
NBSY-0218SD,46,25816,1552.0,0.0,633.0,741.0
NBSY-0218SD,46,25338,0.0,741.0,1428.0,432.0
NBSY-0218SD,46,25202,1428.0,741.0,398.0,432.5
NBSY-0218SD,46,25475,1826.0,741.0,389.0,441.0
NBSY-0218SD,46,25748,2215.0,741.0,225.0,432.0
NBSY-0218SD,46,25419,0.0,1182.0,1918.0,38.0
NBSY-0218SD,47,25801,0.0,0.0,497.0,730.0
NBSY-0218SD,47,25547,497.0,0.0,443.0,730.5
NBSY-0218SD,47,25437,940.0,0.0,418.5,734.0
NBSY-0218SD,47,25628,1358.5,0.0,402.5,734.0
NBSY-0218SD,47,25501,1761.0,0.0,379.0,732.0
NBSY-0218SD,47,25557,0.0,741.0,1302.0,457.0
NBSY-0218SD,47,25450,1302.0,741.0,389.0,462.0
NBSY-0218SD,47,25104,1691.0,741.0,387.0,439.0
NBSY-0218SD,47,25604,2078.0,741.0,362.0,457.0
NBSY-0218SD,48,25740,0.0,0.0,375.0,732.0
NBSY-0218SD,48,25418,375.0,0.0,374.0,732.0
NBSY-0218SD,48,25935,749.0,0.0,374.0,732.0
NBSY-0218SD,48,25287,1123.0,0.0,360.0,732.0
NBSY-0218SD,48,25267,1483.0,0.0,359.0,732.0
NBSY-0218SD,48,25524,1842.0,0.0,351.0,723.0
NBSY-0218SD,48,25238,2193.0,0.0,242.0,703.5
NBSY-0218SD,48,25879,0.0,741.0,2386.0,420.0
NBSY-0218SD,48,25846,2386.0,741.0,52.5,422.0
NBSY-0218SD,48,25912,0.0,1163.0,1468.0,38.0
NBSY-0218SD,49,25144,0.0,0.0,397.0,710.0
NBSY-0218SD,49,25273,397.0,0.0,259.5,716.0
NBSY-0218SD,49,25585,656.5,0.0,249.5,713.0
NBSY-0218SD,49,25819,906.0,0.0,242.0,712.7
NBSY-0218SD,49,25100,1148.0,0.0,198.0,716.0
NBSY-0218SD,49,25327,1346.0,0.0,182.5,710.5
NBSY-0218SD,49,25235,1528.5,0.0,178.0,719.0
NBSY-0218SD,49,25488,1706.5,0.0,52.5,711.0
NBSY-0218SD,49,25290,1759.0,0.0,330.0,659.0
NBSY-0218SD,49,25578,2089.0,0.0,328.0,660.0
NBSY-0218SD,49,25343,0.0,719.0,2084.0,501.0
NBSY-0218SD,50,25703,0.0,0.0,426.0,697.0
NBSY-0218SD,50,25592,426.0,0.0,411.0,692.0
NBSY-0218SD,50,25636,837.0,0.0,401.0,688.0
NBSY-0218SD,50,25758,1238.0,0.0,388.0,699.0
NBSY-0218SD,50,25245,1626.0,0.0,386.0,697.0
NBSY-0218SD,50,25896,2012.0,0.0,358.0,693.0
NBSY-0218SD,50,25613,2370.0,0.0,58.0,694.0
NBSY-0218SD,50,25244,0.0,699.0,1316.5,512.0
NBSY-0218SD,50,25719,1316.5,699.0,407.0,512.0
NBSY-0218SD,50,25569,1723.5,699.0,372.5,513.0
NBSY-0218SD,50,25848,2096.0,699.0,339.0,514.5
NBSY-0218SD,51,25742,0.0,0.0,1848.5,697.0
NBSY-0218SD,51,25741,1848.5,0.0,548.0,697.0
NBSY-0218SD,51,25835,0.0,699.0,372.5,513.0
NBSY-0218SD,51,25903,372.5,699.0,258.0,515.0
NBSY-0218SD,51,25145,630.5,699.0,92.5,513.5
NBSY-0218SD,51,25207,723.0,699.0,363.0,489.0
NBSY-0218SD,51,25724,1086.0,699.0,213.0,495.0
NBSY-0218SD,51,25401,1299.0,699.0,198.0,488.0
NBSY-0218SD,51,25096,1497.0,699.0,158.0,488.0
NBSY-0218SD,51,25141,1655.0,699.0,158.0,488.0
NBSY-0218SD,51,25184,1813.0,699.0,158.0,488.0
NBSY-0218SD,51,25312,1971.0,699.0,158.0,488.0
NBSY-0218SD,51,25117,2129.0,699.0,78.0,488.0
NBSY-0218SD,51,25340,2207.0,699.0,78.0,488.0
NBSY-0218SD,51,25905,2285.0,699.0,78.0,488.0
NBSY-0218SD,51,25807,2363.0,699.0,48.0,494.0
NBSY-0218SD,52,25836,0.0,0.0,348.0,696.0
NBSY-0218SD,52,25601,348.0,0.0,299.0,693.0
NBSY-0218SD,52,25841,647.0,0.0,298.0,698.0
NBSY-0218SD,52,25550,945.0,0.0,297.0,689.0
NBSY-0218SD,52,25177,1242.0,0.0,177.0,692.0
NBSY-0218SD,52,25770,1419.0,0.0,177.0,692.0
NBSY-0218SD,52,25533,1596.0,0.0,53.0,697.0
NBSY-0218SD,52,25671,1649.0,0.0,377.0,681.0
NBSY-0218SD,52,25933,2026.0,0.0,377.0,681.0
NBSY-0218SD,52,25753,0.0,699.0,330.0,508.0
NBSY-0218SD,52,25831,330.0,699.0,1443.5,505.0
NBSY-0218SD,52,25570,1773.5,699.0,132.5,505.0
